SalePrice,GrLivArea,OverallQual,SaleCondition,BldgType,YearBuilt,GarageCars,LotArea,HeatingQC,KitchenQual,MiscVal,YearRemodAdd,YrSold,RoofStyle,SaleType
208500,1710,7,Normal,1Fam,2003,2,8450,Ex,Gd,0,2003,2008,Gable,WD
181500,1262,6,Normal,1Fam,1976,2,9600,Ex,TA,0,1976,2007,Gable,WD
223500,1786,7,Normal,1Fam,2001,2,11250,Ex,Gd,0,2002,2008,Gable,WD
140000,1717,7,Abnorml,1Fam,1915,3,9550,Gd,Gd,0,1970,2006,Gable,WD
250000,2198,8,Normal,1Fam,2000,3,14260,Ex,Gd,0,2000,2008,Gable,WD
143000,1362,5,Normal,1Fam,1993,2,14115,Ex,TA,700,1995,2009,Gable,WD
307000,1694,8,Normal,1Fam,2004,2,10084,Ex,Gd,0,2005,2007,Gable,WD
200000,2090,7,Normal,1Fam,1973,2,10382,Ex,TA,350,1973,2009,Gable,WD
129900,1774,7,Abnorml,1Fam,1931,2,6120,Gd,TA,0,1950,2008,Gable,WD
118000,1077,5,Normal,2fmCon,1939,1,7420,Ex,TA,0,1950,2008,Gable,WD
129500,1040,5,Normal,1Fam,1965,1,11200,Ex,TA,0,1965,2008,Hip,WD
345000,2324,9,Partial,1Fam,2005,3,11924,Ex,Ex,0,2006,2006,Hip,New
144000,912,5,Normal,1Fam,1962,1,12968,TA,TA,0,1962,2008,Hip,WD
279500,1494,7,Partial,1Fam,2006,3,10652,Ex,Gd,0,2007,2007,Gable,New
157000,1253,6,Normal,1Fam,1960,1,10920,TA,TA,0,1960,2008,Hip,WD
132000,854,7,Normal,1Fam,1929,2,6120,Ex,TA,0,2001,2007,Gable,WD
149000,1004,6,Normal,1Fam,1970,2,11241,Ex,TA,700,1970,2010,Gable,WD
90000,1296,4,Normal,Duplex,1967,2,10791,TA,TA,500,1967,2006,Gable,WD
159000,1114,5,Normal,1Fam,2004,2,13695,Ex,Gd,0,2004,2008,Gable,WD
139000,1339,5,Abnorml,1Fam,1958,1,7560,TA,TA,0,1965,2009,Hip,COD
325300,2376,8,Partial,1Fam,2005,3,14215,Ex,Gd,0,2006,2006,Gable,New
139400,1108,7,Normal,1Fam,1930,1,7449,Ex,Gd,0,1950,2007,Gable,WD
230000,1795,8,Normal,1Fam,2002,2,9742,Ex,Gd,0,2002,2008,Hip,WD
129900,1060,5,Normal,TwnhsE,1976,2,4224,TA,TA,0,1976,2007,Gable,WD
154000,1060,5,Normal,1Fam,1968,1,8246,Ex,Gd,0,2001,2010,Gable,WD
256300,1600,8,Normal,1Fam,2007,3,14230,Ex,Gd,0,2007,2009,Gable,WD
134800,900,5,Normal,1Fam,1951,2,7200,TA,Gd,0,2000,2010,Gable,WD
306000,1704,8,Normal,1Fam,2007,3,11478,Ex,Gd,0,2008,2010,Gable,WD
207500,1600,5,Normal,1Fam,1957,1,16321,TA,TA,0,1997,2006,Gable,WD
68500,520,4,Normal,1Fam,1927,1,6324,Fa,Fa,0,1950,2008,Gable,WD
40000,1317,4,Normal,1Fam,1920,1,8500,TA,TA,0,1950,2008,Gambrel,WD
149350,1228,5,Normal,1Fam,1966,1,8544,Gd,Gd,0,2006,2008,Gable,WD
179900,1234,8,Normal,1Fam,2007,2,11049,Ex,Gd,0,2007,2008,Gable,WD
165500,1700,5,Normal,1Fam,1959,2,10552,Gd,Gd,0,1959,2010,Hip,WD
277500,1561,9,Normal,TwnhsE,2005,2,7313,Ex,Ex,0,2005,2007,Hip,WD
309000,2452,8,Normal,1Fam,2004,3,13418,Ex,Gd,0,2005,2006,Gable,WD
145000,1097,5,Normal,1Fam,1994,2,10859,Ex,TA,0,1995,2009,Gable,WD
153000,1297,5,Normal,1Fam,1954,2,8532,Gd,TA,0,1990,2009,Hip,WD
109000,1057,5,Abnorml,1Fam,1953,1,7922,TA,Gd,0,2007,2010,Gable,WD
82000,1152,4,AdjLand,Duplex,1955,0,6040,TA,Fa,0,1955,2008,Gable,WD
160000,1324,6,Abnorml,1Fam,1965,2,8658,Ex,TA,0,1965,2006,Gable,WD
170000,1328,5,Normal,1Fam,1959,1,16905,Gd,TA,0,1959,2007,Gable,WD
144000,884,5,Normal,1Fam,1983,2,9180,Gd,Gd,0,1983,2007,Gable,WD
130250,938,5,Normal,1Fam,1975,1,9200,TA,TA,0,1980,2008,Hip,WD
141000,1150,5,Normal,1Fam,1959,1,7945,Ex,TA,0,1959,2006,Gable,WD
319900,1752,9,Normal,TwnhsE,2005,2,7658,Ex,Ex,0,2005,2010,Hip,WD
239686,2149,7,Abnorml,1Fam,2003,2,12822,Ex,Gd,0,2003,2009,Gable,WD
249700,1656,8,Normal,1Fam,2006,3,11096,Ex,Gd,0,2006,2007,Gable,WD
113000,1452,4,Partial,2fmCon,1920,0,4456,Gd,TA,0,2008,2009,Gable,New
127000,955,5,Normal,1Fam,1966,1,7742,Ex,TA,0,1966,2007,Gable,WD
177000,1470,6,Normal,1Fam,1997,2,13869,Gd,TA,0,1997,2007,Gable,WD
114500,1176,6,Normal,1Fam,1934,2,6240,TA,TA,400,1950,2006,Gable,WD
110000,816,5,Normal,Duplex,1963,2,8472,TA,TA,0,1963,2010,Gable,WD
385000,1842,9,Normal,1Fam,1981,3,50271,Gd,Gd,0,1987,2006,Gable,WD
130000,1360,5,Normal,1Fam,1955,2,7134,TA,TA,0,1955,2007,Gable,WD
180500,1425,6,Normal,1Fam,1964,2,10175,Gd,TA,0,1964,2008,Gable,WD
172500,1739,8,Abnorml,Twnhs,1999,2,2645,Ex,Gd,0,2000,2009,Gable,WD
196500,1720,7,Normal,1Fam,2004,2,11645,Ex,Gd,0,2004,2006,Gable,WD
438780,2945,10,Partial,1Fam,2006,3,13682,Ex,Gd,0,2006,2006,Hip,New
124900,780,5,Normal,1Fam,1972,1,7200,Ex,TA,0,1972,2008,Gable,WD
158000,1158,6,Partial,1Fam,2004,2,13072,Ex,Gd,0,2004,2006,Gable,New
101000,1111,5,Normal,1Fam,1920,1,7200,TA,Fa,0,1996,2007,Gable,WD
202500,1370,8,Normal,TwnhsE,2006,2,6442,Ex,Gd,0,2006,2007,Gable,WD
140000,1710,7,Normal,1Fam,1921,2,10300,Gd,TA,0,1950,2010,Gable,WD
219500,2034,7,Normal,1Fam,1997,2,9375,Ex,Gd,0,1998,2009,Gable,WD
317000,2473,8,Normal,1Fam,2004,3,9591,Ex,Gd,0,2005,2007,Gable,WD
180000,2207,7,Normal,1Fam,1970,2,19900,TA,TA,0,1989,2010,Gable,WD
226000,1479,7,Normal,1Fam,2003,2,10665,Ex,Gd,0,2003,2007,Gable,WD
80000,747,4,Normal,1Fam,1945,1,4608,TA,TA,0,1950,2010,Gable,WD
225000,2287,7,Normal,1Fam,1953,2,15593,TA,TA,0,1953,2006,Gable,WD
244000,2223,7,Normal,1Fam,1973,2,13651,Ex,TA,0,1973,2007,Gable,WD
129500,845,4,Normal,1Fam,1982,2,7599,TA,TA,0,2006,2007,Gable,WD
185000,1718,7,Normal,1Fam,1998,2,10141,Gd,TA,0,1998,2009,Gable,WD
144900,1086,5,Normal,1Fam,1954,2,10200,Gd,TA,0,2003,2010,Gable,WD
107400,1605,3,Normal,1Fam,1915,1,5790,Gd,TA,0,1950,2010,Gambrel,WD
91000,988,4,Normal,Twnhs,1973,1,1596,TA,TA,0,1973,2009,Gable,WD
135750,952,4,Normal,1Fam,1956,1,8475,Ex,TA,0,1956,2008,Gable,WD
127000,1285,5,Normal,1Fam,1948,1,8635,TA,TA,0,2001,2008,Gable,WD
136500,1768,4,Normal,Duplex,1968,0,10778,TA,TA,0,1968,2010,Hip,WD
110000,1230,5,Normal,1Fam,1910,2,10440,Gd,TA,0,1981,2009,Gable,WD
193500,2142,6,Normal,1Fam,1968,1,13000,TA,Gd,0,1968,2009,Gable,WD
153500,1337,6,Normal,TwnhsE,1998,2,4500,Ex,TA,0,1998,2006,Hip,WD
245000,1563,8,Normal,1Fam,2007,3,10206,Ex,Gd,0,2007,2008,Gable,WD
126500,1065,5,Normal,1Fam,1960,2,8892,Gd,TA,0,1960,2007,Gable,COD
168500,1474,7,Normal,1Fam,1995,2,8530,Gd,TA,700,1996,2009,Gable,WD
260000,2417,8,Normal,1Fam,1991,2,16059,Ex,Gd,0,1992,2006,Hip,WD
174000,1560,6,Normal,1Fam,2005,2,11911,Ex,Gd,0,2005,2009,Gable,WD
164500,1224,6,Partial,TwnhsE,2009,2,3951,Ex,Gd,0,2009,2009,Gable,New
85000,1526,3,Abnorml,1Fam,1915,0,8470,TA,Fa,0,1982,2009,Hip,ConLD
123600,990,4,Normal,1Fam,1994,0,8070,Ex,TA,0,1995,2007,Gable,WD
109900,1040,4,Normal,1Fam,1950,2,7200,TA,TA,0,1950,2006,Gable,WD
98600,1235,5,Abnorml,1Fam,1961,2,8500,TA,TA,0,1961,2006,Hip,WD
163500,964,5,Normal,1Fam,1921,2,13360,Ex,TA,0,2006,2009,Gable,WD
133900,2291,6,Normal,2fmCon,1910,2,7200,Ex,TA,0,1998,2007,Hip,WD
204750,1786,6,Normal,1Fam,1997,2,9337,Ex,Gd,0,1997,2007,Gable,WD
185000,1470,6,Normal,1Fam,1993,2,9765,Gd,TA,480,1993,2009,Gable,WD
214000,1588,7,Normal,1Fam,1999,2,10264,Ex,Gd,0,1999,2006,Gable,WD
94750,960,4,Normal,1Fam,1965,1,10921,TA,TA,0,1965,2007,Hip,WD
83000,835,5,Abnorml,1Fam,1920,1,10625,Fa,TA,400,1950,2010,Gable,COD
128950,1225,4,Normal,1Fam,1959,0,9320,Fa,TA,400,1959,2010,Gable,WD
205000,1610,6,Normal,1Fam,1977,2,10603,Gd,Gd,0,2001,2010,Gable,WD
178000,1732,6,Normal,1Fam,1985,2,9206,TA,Gd,0,1985,2010,Gable,WD
118964,1535,5,Alloca,Duplex,1979,2,7018,TA,TA,0,1979,2009,Gable,WD
198900,1226,7,Normal,1Fam,2009,3,10402,Ex,Gd,0,2009,2010,Gable,WD
169500,1818,7,Normal,1Fam,1931,1,7758,Ex,TA,0,1950,2007,Gable,WD
250000,1992,8,Normal,1Fam,2003,2,9375,Ex,Gd,0,2004,2008,Hip,WD
100000,1047,4,Normal,1Fam,1885,1,10800,Gd,TA,450,1995,2007,Mansard,WD
115000,789,5,Partial,1Fam,1948,1,6000,Ex,TA,0,1950,2008,Gable,WD
115000,1517,5,Normal,1Fam,1919,0,8500,TA,Fa,0,2005,2007,Gable,WD
190000,1844,6,Normal,1Fam,1977,2,11751,Ex,TA,0,1977,2010,Hip,COD
136900,1855,6,Normal,1Fam,1954,1,9525,Gd,TA,0,1972,2006,Gable,WD
180000,1430,7,Normal,1Fam,2000,2,7750,Ex,TA,0,2000,2010,Gable,WD
383970,2696,7,Partial,1Fam,2007,3,9965,Ex,Ex,0,2007,2007,Gable,New
217000,2259,6,Abnorml,1Fam,1953,2,21000,TA,Gd,0,1953,2007,Hip,COD
259500,2320,6,Normal,1Fam,1945,1,7259,Ex,Gd,0,2002,2007,Gambrel,WD
176000,1458,6,Normal,TwnhsE,1999,2,3230,Gd,TA,0,1999,2007,Gable,WD
139000,1092,5,Normal,1Fam,1962,1,11616,TA,TA,0,1962,2009,Gable,WD
155000,1125,5,Partial,1Fam,2006,2,8536,Gd,TA,0,2007,2007,Gable,New
320000,3222,7,Normal,1Fam,1990,3,12376,Gd,Gd,0,1990,2010,Hip,WD
163990,1456,6,Partial,1Fam,2005,2,8461,Ex,Gd,0,2006,2006,Gable,New
180000,988,6,Normal,1Fam,1969,2,21453,Ex,TA,0,1969,2006,Flat,WD
100000,1123,4,Normal,1Fam,1939,1,6060,Gd,TA,0,1950,2007,Gable,WD
136000,1080,6,Normal,1Fam,1958,1,9464,Gd,TA,0,1958,2008,Hip,WD
153900,1199,6,Normal,TwnhsE,1993,2,7892,Ex,Gd,0,1993,2008,Gable,WD
181000,1586,6,Normal,1Fam,1979,2,17043,TA,TA,0,1998,2009,Gable,WD
84500,754,6,Normal,2fmCon,1935,0,6780,Gd,TA,0,1982,2006,Gable,WD
128000,958,6,Normal,TwnhsE,1976,2,4928,TA,TA,0,1976,2007,Gable,WD
87000,840,5,Normal,1Fam,1930,0,4388,Ex,TA,0,1950,2007,Gable,WD
155000,1348,6,Normal,1Fam,1966,2,7590,TA,TA,0,1966,2006,Gable,WD
150000,1053,5,Abnorml,1Fam,1958,2,8973,TA,Ex,0,1991,2006,Gable,WD
226000,2157,7,Normal,1Fam,1966,2,14200,Ex,Gd,0,1966,2006,Gable,WD
244000,2054,6,Normal,1Fam,2000,2,12224,Ex,Gd,0,2000,2009,Gable,WD
150750,1327,5,Normal,1Fam,1959,2,7388,Gd,Gd,0,2002,2007,Gable,WD
220000,1296,8,Normal,1Fam,2001,2,6853,Ex,Gd,0,2002,2009,Gable,WD
180000,1721,5,Normal,1Fam,1968,2,10335,Gd,TA,0,1993,2006,Gable,WD
174000,1682,7,Normal,1Fam,1970,2,10400,Gd,TA,0,1970,2008,Hip,WD
143000,1214,5,Normal,1Fam,1967,1,10355,TA,TA,0,1967,2007,Gable,WD
171000,1959,7,Family,Duplex,1988,3,11070,Gd,TA,0,1989,2006,Gable,WD
230000,1852,8,Normal,1Fam,1999,3,9066,Ex,Gd,0,2000,2008,Gable,WD
231500,1764,6,Normal,1Fam,1997,2,15426,Ex,Gd,0,1997,2009,Gable,WD
115000,864,4,Normal,1Fam,1971,0,10500,TA,TA,0,1971,2010,Gable,ConLI
260000,1734,7,Normal,1Fam,2005,2,11645,Ex,Gd,0,2005,2006,Gable,WD
166000,1385,5,Normal,1Fam,1952,2,8520,Fa,TA,0,1952,2010,Gable,WD
204000,1501,7,Normal,1Fam,1999,2,10335,Ex,Gd,0,1999,2009,Gable,WD
125000,1728,5,Abnorml,Duplex,1963,2,9100,TA,TA,0,1963,2006,Gable,ConLI
130000,1709,6,Normal,Twnhs,2004,2,2522,Ex,Gd,0,2006,2006,Gable,WD
105000,875,5,Normal,1Fam,1931,1,6120,TA,TA,0,1993,2009,Gable,WD
222500,2035,7,Normal,1Fam,2001,2,9505,Ex,Gd,0,2001,2010,Gable,WD
141000,1080,7,Normal,1Fam,2004,0,7500,Ex,Gd,0,2005,2008,Gable,WD
115000,1344,5,Normal,1Fam,1936,1,6240,Gd,TA,0,1950,2006,Gable,WD
122000,969,5,Normal,1Fam,1975,2,10356,TA,TA,0,1975,2007,Gable,WD
372402,1710,8,Partial,1Fam,2007,3,13891,Ex,Gd,0,2008,2008,Hip,New
190000,1993,6,Normal,1Fam,1971,2,14803,Gd,TA,0,1971,2006,Gable,WD
235000,1252,6,Normal,1Fam,1960,2,13500,Gd,TA,0,1975,2008,Flat,WD
125000,1200,6,Family,1Fam,1923,1,11340,TA,TA,0,1950,2006,Gable,WD
79000,1096,6,Normal,1Fam,1924,0,9600,Fa,TA,0,1950,2008,Gable,WD
109500,1040,5,Normal,1Fam,1950,2,7200,TA,TA,0,1950,2006,Hip,WD
269500,1968,8,Partial,1Fam,2009,3,12003,Ex,Ex,0,2010,2010,Gable,New
254900,1947,7,Normal,1Fam,2004,2,12552,Ex,Gd,0,2005,2010,Gable,WD
320000,2462,7,Partial,1Fam,2005,2,19378,Ex,Gd,0,2006,2006,Gable,New
162500,1232,6,Normal,1Fam,1984,2,11120,TA,TA,0,1984,2008,Gable,WD
412500,2668,9,Normal,1Fam,2003,3,13688,Ex,Ex,0,2004,2008,Gable,WD
220000,1541,7,Partial,1Fam,2005,2,12182,Ex,Gd,0,2005,2010,Gable,New
103200,882,4,Normal,1Fam,1956,0,5500,Ex,TA,0,1956,2007,Gable,WD
152000,1616,6,Normal,1Fam,1926,1,5400,Gd,Gd,0,2004,2007,Gable,WD
127500,1355,5,Normal,2fmCon,1940,0,10106,Gd,TA,0,1999,2008,Gable,WD
190000,1867,5,Normal,1Fam,1955,1,10708,Ex,TA,0,1993,2009,Hip,COD
325624,2161,8,Partial,1Fam,2007,3,10562,Ex,Ex,0,2007,2007,Gable,New
183500,1720,7,Normal,1Fam,2004,2,8244,Ex,Gd,0,2004,2007,Gable,WD
228000,1707,8,Normal,1Fam,1981,2,16669,TA,TA,0,1981,2006,Hip,WD
128500,1382,5,Normal,1Fam,1941,2,12358,TA,TA,0,1950,2007,Gable,WD
215000,1656,6,Normal,1Fam,1960,2,31770,Fa,TA,0,1960,2010,Hip,WD
239000,1767,7,Normal,TwnhsE,1987,2,5306,Gd,Gd,0,1987,2006,Gable,WD
163000,1362,6,Normal,1Fam,1961,2,10197,TA,TA,0,1961,2008,Gable,COD
184000,1651,6,Normal,1Fam,1986,2,12416,TA,TA,0,1986,2008,Gable,WD
243000,2158,6,Normal,1Fam,1950,2,12615,TA,Gd,0,2001,2007,Gable,WD
211000,2060,6,Normal,1Fam,1988,2,10029,TA,TA,0,1989,2007,Gable,WD
172500,1920,5,Normal,1Fam,1958,2,13650,Ex,Gd,0,1958,2006,Gable,WD
501837,2234,9,Partial,1Fam,2008,3,17423,Ex,Ex,0,2009,2009,Hip,New
100000,968,5,Normal,1Fam,1923,2,8520,TA,TA,0,2006,2007,Gable,WD
177000,1525,6,Normal,Twnhs,2000,2,2117,Ex,Gd,0,2000,2007,Gable,WD
200100,1802,7,Normal,1Fam,1920,1,7588,Gd,TA,0,1950,2006,Gable,WD
120000,1340,5,Normal,1Fam,1957,1,9060,Ex,TA,0,2006,2007,Hip,WD
200000,2082,7,Normal,1Fam,2003,2,11426,Ex,Gd,0,2003,2008,Gable,WD
127000,1252,5,Normal,1Fam,1908,2,7438,Gd,TA,0,1991,2006,Gable,WD
475000,3608,10,Normal,1Fam,1892,3,22950,Ex,Ex,0,1993,2006,Gable,WD
173000,1217,7,Normal,1Fam,1990,2,9947,Ex,Gd,0,1991,2009,Gable,WD
135000,1656,5,Normal,1Fam,1916,1,10410,Ex,TA,0,1987,2009,Gable,WD
153337,1224,5,Alloca,Duplex,1979,2,7018,TA,TA,0,1979,2009,Gable,WD
286000,1593,8,Normal,TwnhsE,2001,2,4923,Ex,Ex,0,2002,2008,Gable,WD
315000,2727,8,Normal,1Fam,1932,2,10570,TA,Gd,0,1994,2007,Hip,WD
184000,1479,7,Normal,1Fam,1972,2,7472,Gd,Gd,0,2004,2007,Gable,WD
192000,1431,7,Normal,1Fam,1999,2,9017,Ex,Gd,0,1999,2009,Gable,WD
130000,1709,7,Normal,Twnhs,2004,2,2522,Ex,Gd,0,2004,2006,Gable,WD
127000,864,5,Normal,1Fam,1972,1,7180,TA,TA,0,1972,2008,Hip,WD
148500,1456,6,Normal,Twnhs,1976,2,2280,TA,TA,0,1976,2009,Gable,WD
311872,1726,7,Partial,1Fam,2007,3,9416,Ex,Ex,0,2007,2007,Hip,New
235000,3112,8,Abnorml,1Fam,1918,2,25419,Gd,Gd,0,1990,2006,Gable,WD
104000,2229,6,Abnorml,1Fam,1912,0,5520,Ex,TA,0,1950,2009,Gable,WD
274900,1713,8,Normal,1Fam,2004,3,9591,Ex,Ex,0,2005,2009,Hip,WD
140000,1121,4,Normal,1Fam,2003,2,8546,Ex,TA,0,2004,2010,Gable,WD
171500,1279,6,Normal,1Fam,1977,2,10125,TA,TA,0,1977,2008,Gable,WD
112000,1310,6,Normal,1Fam,1924,1,7000,Gd,TA,0,1950,2006,Gable,COD
149000,848,6,Normal,TwnhsE,2004,2,4438,Ex,Gd,0,2004,2008,Gable,WD
110000,1284,5,Normal,1Fam,1947,1,3500,TA,TA,0,1950,2009,Gable,WD
180500,1442,7,Normal,1Fam,1990,2,11851,Ex,TA,0,1990,2009,Gable,WD
143900,1696,5,Normal,1Fam,1962,1,13673,TA,TA,0,1962,2007,Gable,WD
141000,1100,4,Normal,1Fam,1960,1,12493,TA,TA,0,1960,2008,Gable,WD
277000,2062,7,Normal,1Fam,1988,2,14364,Ex,TA,0,1989,2007,Gable,WD
145000,1092,6,Normal,1Fam,1964,2,8250,Ex,TA,0,1964,2008,Hip,WD
98000,864,5,Normal,1Fam,1925,0,5604,TA,TA,0,1950,2008,Gable,WD
186000,1212,6,Normal,1Fam,2009,2,10420,Ex,Gd,0,2009,2010,Gable,WD
252678,1852,7,Partial,1Fam,2009,2,8640,Ex,Gd,0,2009,2009,Gable,New
156000,990,5,Normal,1Fam,1995,2,13568,Ex,TA,0,1995,2006,Gable,WD
161750,1392,6,Normal,1Fam,1977,1,10900,Ex,TA,450,1977,2010,Gable,WD
134450,1236,5,Normal,1Fam,1957,1,10011,TA,Gd,0,1996,2006,Gable,WD
210000,1436,7,Normal,1Fam,2004,2,8450,Ex,Gd,0,2004,2008,Gable,WD
107000,1328,4,Family,1Fam,1925,1,9906,Fa,TA,0,1950,2006,Gable,WD
311500,1954,7,Normal,1Fam,1939,2,15660,Ex,Gd,0,2006,2008,Gable,WD
167240,1248,7,Partial,TwnhsE,2005,2,3010,Ex,Gd,0,2006,2006,Gable,New
204900,1498,7,Partial,1Fam,2006,2,8990,Ex,Gd,0,2006,2006,Gable,New
200000,2267,6,Normal,1Fam,2002,2,8068,Ex,Gd,0,2002,2009,Gable,ConLI
179900,1552,6,Normal,1Fam,1975,2,11475,TA,TA,0,1975,2006,Gable,WD
97000,864,4,Abnorml,1Fam,1971,2,10500,Gd,TA,0,1971,2009,Gable,WD
386250,2392,10,Normal,1Fam,2003,3,13472,Ex,Ex,0,2003,2009,Hip,WD
112000,1302,5,Abnorml,Twnhs,1971,1,1680,TA,TA,0,1971,2009,Gable,COD
290000,2520,7,Abnorml,1Fam,1995,3,9950,Ex,Gd,0,1995,2007,Gable,WD
106000,987,6,Normal,Twnhs,1970,1,1869,TA,TA,0,1970,2008,Gable,WD
125000,912,5,Normal,1Fam,1967,1,8521,TA,TA,0,1967,2010,Gable,WD
192500,1555,7,Normal,TwnhsE,2005,2,3182,Ex,Gd,0,2006,2009,Gable,WD
148000,1194,6,Normal,1Fam,1959,1,8760,TA,TA,0,1959,2010,Hip,WD
403000,2794,8,Normal,1Fam,1995,3,15138,Ex,Ex,0,1996,2009,Gable,WD
94500,987,6,Normal,Twnhs,1972,1,1680,TA,TA,0,1972,2006,Gable,WD
128200,894,5,Normal,1Fam,1976,1,10650,TA,TA,0,1976,2010,Gable,WD
216500,1960,6,Normal,1Fam,2002,2,7851,Ex,Gd,0,2002,2010,Gable,WD
89500,987,6,Normal,TwnhsE,1971,1,1680,TA,TA,0,1971,2008,Gable,WD
185500,1414,7,Normal,1Fam,2004,2,8773,Ex,Gd,0,2004,2010,Gable,WD
194500,1744,7,Normal,1Fam,1993,2,9453,Ex,Gd,0,2003,2010,Gable,WD
318000,1694,8,Partial,1Fam,2007,3,12030,Ex,Gd,0,2007,2007,Hip,New
113000,1487,6,Normal,1Fam,1945,1,8741,TA,TA,0,1950,2010,Gable,WD
